model_id,task_family,n_cases,ECS_mean,ECS_std,EVR_mean,EVR_std,EDI_mean,EDI_std
gpt-5.4,open_ended_reasoning,35,0.4810020221028066,0.15646772842067053,0.5176828468050105,0.15710750206640847,0.5140479394223646,0.16140810233514194
gpt-5.4,structured_decision_support,30,0.4573769374631602,0.04848360055885133,0.5449537850641899,0.05750355221553738,0.539477317342734,0.06885284700441249
gpt-5.4,text_classification,35,0.6315039879123334,0.07396715888069635,0.36131346002907233,0.07040777523128412,0.3771015865061407,0.08057721495933005
gpt-5.4-mini,open_ended_reasoning,35,0.4203451277152475,0.16020439965326772,0.5862307669073269,0.17048671451244568,0.5720315753360224,0.16129058312649036
gpt-5.4-mini,structured_decision_support,30,0.4138796897224272,0.035913518652006704,0.5827249810396362,0.04812440304914973,0.5848819994546208,0.04936765273204493
gpt-5.4-mini,text_classification,35,0.660818498673243,0.0670833858312762,0.3416698590516363,0.06823726678350468,0.3405187148614526,0.08133404529736535
