task_family,metric,comparison,n_pairs,mean_diff,median_diff,wilcoxon_W,p_value,rank_biserial
open_ended_reasoning,ECS,gpt-5.4-mini - gpt-5.4,35,-0.06065689438755921,-0.07544741487569884,118.0,0.0008381715742871165,-0.6253968253968254
open_ended_reasoning,EVR,gpt-5.4-mini - gpt-5.4,35,0.06854792010231635,0.055287242217904375,124.0,0.0012532108230516315,0.6063492063492063
open_ended_reasoning,EDI,gpt-5.4-mini - gpt-5.4,35,0.0579836359136578,0.06028525153623465,164.0,0.012395260331686586,0.4793650793650794
structured_decision_support,ECS,gpt-5.4-mini - gpt-5.4,30,-0.04349724774073296,-0.022933464474979126,59.0,0.0001528710126876831,-0.7462365591397849
structured_decision_support,EVR,gpt-5.4-mini - gpt-5.4,30,0.03777119597544634,0.03867740526119223,95.0,0.0037444327026605606,0.5913978494623656
structured_decision_support,EDI,gpt-5.4-mini - gpt-5.4,30,0.04540468211188676,0.035870604076812695,103.0,0.006639536470174789,0.556989247311828
text_classification,ECS,gpt-5.4-mini - gpt-5.4,35,0.029314510760909646,0.019079012454339295,186.0,0.034139224560931325,0.4095238095238095
text_classification,EVR,gpt-5.4-mini - gpt-5.4,35,-0.01964360097743602,-0.02673828032149672,220.0,0.1226657732622698,-0.30158730158730157
text_classification,EDI,gpt-5.4-mini - gpt-5.4,35,-0.03658287164468809,-0.029516257038591676,170.0,0.016599797061644495,-0.4603174603174603
